step,Small_R8_lr_2*10-4,Small_R8_lr_3*10-4,Small_R8_lr_4*10-4,Small_R8_lr_5*10-4,Small_R32_lr_4_10-4,Small_R32_lr_5*10-4,Small_R64_lr_4_10-4,Medium_32_lr_1.5_10-4,Medium_R32_lr_3*10-4,Small_64_lr_4_10-4_correct_alpha
465.0,80.40169525146484,68.54541778564453,75.50212097167969,64.37556457519531,52.213497161865234,38.11244583129883,50.27451705932617,54.131629943847656,44.61046600341797,55.77872085571289
930.0,73.11835479736328,45.34019088745117,58.586421966552734,72.8681640625,42.27534866333008,29.36965751647949,33.36576461791992,26.49246025085449,27.062339782714844,38.86996841430664
1395.0,66.61338806152344,30.578914642333984,32.08700942993164,34.3178825378418,27.7295150756836,27.500173568725582,34.81131362915039,25.85308265686035,25.672388076782227,37.820556640625
1860.0,57.94009399414063,34.13718795776367,27.77816390991211,39.94023132324219,31.093196868896484,25.519495010375977,32.920982360839844,25.95037841796875,29.265411376953125,35.36034393310547
2325.0,61.17173004150391,36.1665153503418,34.762664794921875,31.64222717285156,30.53026580810547,24.949613571166992,31.06539726257324,22.864688873291016,26.7218017578125,24.789770126342773
2790.0,49.60733795166016,35.41594314575195,24.18514060974121,35.44374084472656,26.10327339172364,24.532629013061523,25.72798728942871,21.57203483581543,20.265480041503903,25.721036911010742
3255.0,45.069149017333984,29.321008682250977,24.28243827819824,32.7750358581543,24.58822631835937,24.19904136657715,26.74959945678711,22.62144660949707,20.890958786010746,22.62839698791504
3720.0,47.40426635742188,25.48474502563477,25.199806213378903,38.86996841430664,24.28243827819824,25.901729583740234,27.562721252441406,21.32184219360352,23.23302459716797,22.55889892578125
4185.0,,34.29008102416992,24.63687515258789,34.41517639160156,23.6430606842041,23.39981842041016,29.897838592529297,20.043088912963867,19.61220359802246,26.8190975189209
4650.0,,26.54110717773437,30.89165306091309,40.44061279296875,25.109458923339844,27.38202857971192,31.74647331237793,20.328027725219727,20.00139045715332,24.073945999145508
5115.0,,,,,23.83765411376953,,25.964279174804688,19.772048950195312,21.40524101257324,23.406768798828125
5580.0,,,,,22.58669853210449,,23.58746337890625,,21.50253677368164,22.982833862304688
6045.0,,,,,,,25.47084617614746,,21.87782287597656,23.865453720092773
6510.0,,,,,,,22.56584930419922,,20.79366111755371,23.330322265625
6975.0,,,,,,,22.92723655700684,,,22.920286178588867
